,Weight,Pred_Weight,Residuals
0,567.0,563.6364,3.36358642578125
1,10.0,20.000246,-10.000246047973633
2,188.0,177.63675,10.363250732421875
3,32.0,25.13341,6.86659049987793
4,180.0,172.09625,7.90374755859375
5,700.0,671.9005,28.0994873046875
6,300.0,290.793,9.207000732421875
7,150.0,126.326416,23.673583984375
8,320.0,332.52588,-12.52587890625
9,40.0,44.057568,-4.057567596435547
10,197.0,177.63675,19.363250732421875
11,225.0,187.63844,37.36155700683594
12,430.0,433.85706,-3.8570556640625
13,9.9,20.000246,-10.100246047973632
14,51.5,54.95937,-3.459369659423828
15,1550.0,1508.3752,41.624755859375
16,600.0,665.10095,-65.1009521484375
17,306.0,295.83063,10.16937255859375
18,110.0,121.34887,-11.348869323730469
19,975.0,967.5127,7.4873046875
20,290.0,285.90823,4.091766357421875
21,120.0,119.38487,0.6151275634765625
22,610.0,646.8593,-36.85931396484375
23,200.0,193.17894,6.8210601806640625
24,70.0,54.95937,15.040630340576172
25,242.0,281.18793,-39.18792724609375
26,273.0,258.6416,14.3583984375
27,770.0,718.04626,51.9537353515625
28,540.0,544.5213,-4.52130126953125
29,7.5,20.000246,-12.500246047973633
30,130.0,126.326416,3.673583984375
31,300.0,290.21225,9.787750244140625
32,450.0,463.07678,-13.0767822265625
33,90.0,105.46756,-15.467559814453125
34,540.0,563.6364,-23.63641357421875
35,700.0,697.8094,2.19061279296875
36,6.7,20.000246,-13.300246047973634
37,60.0,53.243034,6.756965637207031
38,300.0,332.52588,-32.52587890625
39,80.0,80.73989,-0.7398910522460938
40,135.0,126.326416,8.673583984375
41,120.0,126.326416,-6.326416015625
42,85.0,80.73989,4.260108947753906
43,556.0,536.9778,19.022216796875
44,110.0,119.688354,-9.6883544921875
45,925.0,924.62506,0.37493896484375
46,850.0,817.139,32.86102294921875
47,850.0,865.53357,-15.5335693359375
48,85.0,80.73989,4.260108947753906
49,500.0,477.05267,22.94732666015625
50,145.0,141.08653,3.9134674072265625
51,115.0,121.34887,-6.348869323730469
52,145.0,172.09625,-27.09625244140625
53,950.0,935.5646,14.4354248046875
54,500.0,483.69653,16.303466796875
55,13.4,20.000246,-6.6002460479736325
56,363.0,346.83746,16.16253662109375
57,300.0,333.939,-33.938995361328125
58,700.0,666.14087,33.859130859375
59,1250.0,1240.6613,9.3387451171875
60,500.0,483.69653,16.303466796875
61,390.0,435.3254,-45.325408935546875
62,514.0,516.6326,-2.63262939453125
63,685.0,691.57916,-6.57916259765625
64,690.0,699.24023,-9.240234375
65,140.0,134.95848,5.0415191650390625
66,300.0,295.18042,4.819580078125
67,1000.0,954.3426,45.65740966796875
68,9.7,20.000246,-10.300246047973634
69,161.0,172.09625,-11.09625244140625
70,55.0,53.243034,1.7569656372070312
71,800.0,771.24365,28.75634765625
72,125.0,114.7108,10.289199829101562
73,130.0,126.326416,3.673583984375
74,1000.0,976.585,23.41497802734375
75,290.0,306.97824,-16.978240966796875
76,700.0,699.24023,0.759765625
77,1000.0,976.585,23.41497802734375
78,169.0,180.7283,-11.728302001953125
79,1650.0,1508.3752,141.624755859375
80,650.0,703.8964,-53.89642333984375
81,272.0,276.29636,-4.296356201171875
82,250.0,271.1485,-21.14849853515625
83,19.7,25.13341,-5.433409500122071
84,680.0,705.56305,-25.56304931640625
85,265.0,246.59982,18.400177001953125
86,390.0,383.5893,6.41070556640625
87,650.0,662.62537,-12.6253662109375
88,820.0,873.26013,-53.2601318359375
89,87.0,101.56734,-14.567337036132812
90,110.0,114.7108,-4.7108001708984375
91,1000.0,856.36536,143.6346435546875
92,9.8,20.000246,-10.200246047973632
93,714.0,723.1093,-9.10931396484375
94,685.0,715.0191,-30.01910400390625
95,456.0,431.22263,24.777374267578125
96,450.0,475.26794,-25.2679443359375
97,200.0,198.43095,1.5690460205078125
98,950.0,959.94666,-9.9466552734375
99,150.0,124.283905,25.716094970703125
100,140.0,130.92198,9.078018188476562
101,600.0,625.6867,-25.68670654296875
102,7.0,20.000246,-13.000246047973633
103,500.0,535.06775,-35.0677490234375
104,130.0,121.34887,8.651130676269531
105,260.0,246.59982,13.400177001953125
106,218.0,198.31985,19.680145263671875
107,160.0,141.86862,18.131378173828125
108,345.0,290.793,54.207000732421875
109,820.0,822.69006,-2.6900634765625
